ChannelName,ProductId,DateSold,SPV
First Step Insurance Brokers (Pty) Ltd,10,2018-04-05 08:18:18.000,1656.0800
AutoPedigree,16,2018-04-05 08:49:00.000,619.9890
Surestrat (Pty) Ltd,76,2018-04-05 09:47:52.000,55.0000
Surestrat (Pty) Ltd,76,2018-04-05 09:47:52.000,71.0000
Surestrat (Pty) Ltd,76,2018-04-05 09:47:52.000,116.0000
Surestrat (Pty) Ltd,76,2018-04-05 09:47:52.000,227.9200
AutoPedigree,15,2018-04-05 10:03:29.000,1088.0693
Aquarius Insurance Consultants CC,9,2018-04-05 10:21:44.000,1543.6600
AutoPedigree,7,2018-04-05 10:34:11.000,2448.2600
AutoPedigree,6,2018-04-05 10:42:41.000,987.6300
AutoPedigree,7,2018-04-05 11:19:43.000,1087.1800
Constellation Financial Services (Pty) Ltd,17,2018-04-05 11:26:06.000,1298.1996
AutoPedigree,7,2018-04-05 11:31:56.000,677.9900
One Call Insurance Brokers,90,2018-04-05 11:49:30.000,129.0000
One Call Insurance Brokers,93,2018-04-05 11:54:43.000,199.0000
One Call Insurance Brokers,93,2018-04-05 11:54:43.000,199.0000
Compare and Insure Consulting (PTY) LTD,9,2018-04-05 11:59:09.000,491.3800
Compare and Insure Consulting (PTY) LTD,9,2018-04-05 11:59:09.000,492.4300
AutoPedigree,7,2018-04-05 12:26:38.000,1511.6000
Constellation Financial Services (Pty) Ltd,6,2018-04-05 12:28:33.000,1394.3300
AutoPedigree,7,2018-04-05 12:43:33.000,1097.4800
Uhuru,6,2018-04-05 13:11:48.000,913.1400
Uhuru,6,2018-04-05 13:11:48.000,1105.4300
One Call Insurance Brokers,98,2018-04-05 13:15:38.000,89.0000
AutoPedigree,16,2018-04-05 13:25:48.000,488.7175
AutoPedigree,7,2018-04-05 14:08:52.000,743.7600
AutoPedigree,7,2018-04-05 14:09:53.000,1099.3800
AutoPedigree,7,2018-04-05 14:10:58.000,917.3200
AutoPedigree,15,2018-04-05 14:14:18.000,987.9789
One Call Insurance Brokers,94,2018-04-05 14:14:48.000,179.0000
One Call Insurance Brokers,90,2018-04-05 14:16:27.000,79.0000
One Call Insurance Brokers,90,2018-04-05 14:16:27.000,79.0000
One Call Insurance Brokers,90,2018-04-05 14:17:11.000,109.0000
AutoPedigree,7,2018-04-05 14:35:47.000,838.5400
One Call Insurance Brokers,98,2018-04-05 14:54:11.000,89.0000
AutoPedigree,7,2018-04-05 15:22:33.000,1702.6300
Uhuru,6,2018-04-05 16:11:03.000,1442.5500
Surestrat (Pty) Ltd,76,2018-04-06 06:16:41.000,227.9200
AutoPedigree,7,2018-04-06 06:21:58.000,887.5600
One Call Insurance Brokers,93,2018-04-06 06:43:31.000,79.0000
One Call Insurance Brokers,93,2018-04-06 06:43:31.000,79.0000
One Call Insurance Brokers,93,2018-04-06 06:43:31.000,189.0000
One Call Insurance Brokers,93,2018-04-06 06:43:31.000,189.0000
One Call Insurance Brokers,93,2018-04-06 06:43:31.000,199.0000
AutoPedigree,7,2018-04-06 06:57:39.000,924.5400
AutoPedigree,7,2018-04-06 07:07:56.000,766.5000
AutoPedigree,7,2018-04-06 07:27:29.000,841.7700
Uhuru,18,2018-04-06 07:51:31.000,755.3917
Uhuru,37,2018-04-06 08:57:04.000,1753.2900
Uhuru,37,2018-04-06 08:57:04.000,1754.6000
AutoPedigree,7,2018-04-06 08:57:43.000,1070.1300
AutoPedigree,15,2018-04-06 09:03:51.000,468.0882
AutoPedigree,7,2018-04-06 09:09:18.000,737.9500
AutoPedigree,16,2018-04-06 09:11:40.000,1125.8882
Uhuru,6,2018-04-06 09:20:41.000,1151.2700
One Call Insurance Brokers,98,2018-04-06 09:29:01.000,89.0000
Uhuru,9,2018-04-06 09:48:21.000,976.9900
AutoPedigree,7,2018-04-06 09:52:09.000,1122.4200
AutoPedigree,7,2018-04-06 10:21:14.000,771.0700
AutoPedigree,58,2018-04-06 11:11:12.000,1412.4200
Compare and Insure Consulting (PTY) LTD,36,2018-04-06 11:15:40.000,150.5900
Compare and Insure Consulting (PTY) LTD,36,2018-04-06 11:15:40.000,171.4600
Compare and Insure Consulting (PTY) LTD,36,2018-04-06 11:15:40.000,294.7800
Compare and Insure Consulting (PTY) LTD,36,2018-04-06 11:15:40.000,309.6900
AutoPedigree,7,2018-04-06 11:59:08.000,749.7600
AutoPedigree,7,2018-04-06 12:13:07.000,1569.2900
AutoPedigree,7,2018-04-06 12:49:14.000,1387.9600
AutoPedigree,17,2018-04-06 13:11:08.000,603.2838
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,45.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,50.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,50.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,53.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,55.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,60.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,63.5300
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,69.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,89.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,139.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,187.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,199.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,199.0000
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,209.3900
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,213.8100
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,230.2600
TLC Financial Services (Pty) Ltd,100,2018-04-06 13:19:22.000,383.0000
AutoPedigree,7,2018-04-06 13:23:04.000,1606.7800
AutoPedigree,7,2018-04-06 13:38:48.000,1011.4900
AutoPedigree,7,2018-04-06 13:46:51.000,634.7000
AutoPedigree,7,2018-04-06 13:55:43.000,1324.9600
AutoPedigree,7,2018-04-06 13:55:58.000,1222.5100
CompareGuru Financial Services,90,2018-04-06 14:13:47.000,129.0000
AutoPedigree,7,2018-04-06 14:22:11.000,792.8400
AutoPedigree,7,2018-04-06 14:37:41.000,1294.6200
AutoPedigree,15,2018-04-06 14:41:51.000,480.4860
AutoPedigree,7,2018-04-06 15:05:37.000,874.0200
AutoPedigree,7,2018-04-06 15:06:59.000,1440.1100
AutoPedigree,7,2018-04-06 15:08:39.000,619.5553
AutoPedigree,7,2018-04-06 15:08:39.000,987.7700
AutoPedigree,58,2018-04-06 15:15:39.000,1372.7200
AutoPedigree,7,2018-04-06 15:42:53.000,819.6000
AutoPedigree,7,2018-04-06 16:03:10.000,1230.4800
AutoPedigree,7,2018-04-07 07:00:17.000,1164.3900
AutoPedigree,7,2018-04-07 07:33:55.000,877.7100
AutoPedigree,7,2018-04-07 07:53:34.000,693.2000
AutoPedigree,9,2018-04-07 08:12:43.000,1289.2800
AutoPedigree,7,2018-04-07 08:46:44.000,1662.1400
AutoPedigree,7,2018-04-07 10:56:55.000,713.9800
AutoPedigree,7,2018-04-09 06:09:19.000,1043.5800
AutoPedigree,7,2018-04-09 08:42:12.000,801.9917
AutoPedigree,7,2018-04-09 08:42:12.000,940.9100
